,0
eq5d4,0.005397724984800013
hads14,0.05319409988477393
hads1,0.023660813856677072
haq20,0.007678897433783772
haqScore,0.03940978845428273
hads8,0.0471348194584633
hads5,0.012010125030887714
haq13,0.014647897624183661
haq9,0.0068109196301203035
hads4,0.16285346850488733
Score_Ansiedade,0.00842236368521694
haq18,0.006166076719928076
hads10,0.0684605670023659
score_eq5d,0.033230912590992694
hads2,0.15144794551632842
hads12,0.1815828708758144
Pontuacao_Ansiedade,0.015607806690150782
hads6,0.11759916902307208
hads3,0.008724725187048562
eq5d5,0.03595900784622223
