,0
Time,0.00048743130515041733
Urinarias,0.0004236110232919005
OP,0.00026649709313501704
haq1,0.017675566079850484
Esc_IA_Q6,8.166002466482879e-05
Cod_UnidAlcool,0.0010017996304580081
Num_Hosp_Psiq,0.00014286799305189665
Arritmia,0.00020131148230078335
haq_instrumento,0.00015483281024545275
EA,5.034736434637695e-05
Angina_Peito,1.0451376394161914e-05
Cardiaca,0.00032009425708902855
Outro_Exerc,0.0
N_Reab_Priv,2.4399105719254417e-05
N_Familiar_Priv,9.611862602402116e-05
N_Orto_Pub,0.00021158410699765952
Num_Cons_Publico,0.0007541947753115922
Esc_IA_Q5,4.3544652295460134e-05
haq_barra,2.2588186272831586e-05
Num_Centro_Saude,0.0007352240993806573
POND_NAC,0.0008258984063082021
Hidroginastica,6.067260708441668e-05
Periarticular,0.0002401897230132442
Alergias,0.0005891206664166207
N_Neuro_Pub,0.0001629561322600215
hads10,0.0513360775458786
Pont_Ansiedade,0.0007366851843250174
haq_frascos,2.6076787024925624e-05
Peso,0.0008113548153450796
Participante,0.0
Ansiedade,0.00013553841102697414
Esc_IA_Q8,3.0086222535845775e-05
Hipertensao,0.0005783931381322659
Tempo_Baixa_,0.00015926827557873207
Bronquiectasias,0.0
haq6,0.004259700410154217
Doenca_Bipolar,3.885543333883076e-06
Outra_desc,1.9261027942485915e-05
Alergia,0.00028227689029615904
Num_Consultas_Presenciais,0.0004728017597789339
Doenca_Oncologica,0.0003372979888721583
Tempo_Baixa,0.00015063912530265494
Num_Teleconsultas,0.0002457832895329098
Fractura,0.00017588923017856329
eq5d7,0.0030877360651837605
Desemp_dr,2.898896370858878e-05
haq4,0.013293077232702578
hads4,0.06276133775477027
haq19,0.008565681651481161
Privado_Com_Seguro,0.00028379147711644654
eq5d6,0.0011007714960002768
Hiperplasia_Benigna_Prostata,0.0001013282979081501
Anca,4.898239771093348e-06
Num_Cons_Privado,0.0002620775834508877
Doenca_Cronica,0.0005607494106991773
Esc_IA_Q14,0.0
haq9,0.019556478494397
Idade_Inicio_Exercicio,0.00035831188535096186
Num_Frac_Coluna,0.0
Outra_Doenca_Mental,0.0
Esc_IA_Q11,0.0
Polimialgia,9.193259185578439e-06
N_Outras_Pub,0.0008429237664079393
Frac_outra,0.0
Outro,0.00010461612556804665
haqLevantar,0.00010335913726357484
Reumatica,0.00036218794175970996
Incapac_dr,0.00012720347691644042
haq3,0.010572360501489932
Doenca_Refluxo,7.922454268352786e-05
Num_Hosp_Nefrologia,0.0
N_Reab_Pub,2.2839423551459428e-05
Cirrose_Hepatica,2.66405258909007e-06
Fibrose_Quistica,1.9107492853827216e-05
Corrida,0.0
hads6,0.05299457775729854
Exercicio_Regular,0.0004829391659221482
Num_Hosp_Reuma,3.089893968571317e-05
Hipogonadismo,3.596591616411109e-05
LES,7.97660091929785e-05
N_Interna_Pub,7.92665843354464e-05
Acido_Urico_Elevado,0.00010615467028045099
Ciclismo,3.45584863132261e-05
hads7,0.018731946154276754
eq5d1,0.011048299685797302
Prob_Valvula_Coracao,0.00010104503300183354
Tempo_min,0.0004186103339682918
Doenca_Mental,0.0016998086635500406
Punho,3.0335361320378473e-05
Hepatite,6.432530679064356e-06
Fibromialgia,6.698483692976075e-05
Assist_Domiciliaria,0.0002963372178586186
Digestiva,0.0001742332105741958
Num_Hosp_Med_Int,6.274326498790883e-05
Enfisema_Pulmonar,0.0
Miocardiopatia_Hipertrofica,0.0
Doenca_Aparelho_Digestivo,0.00011018434593947665
eq5d2,0.0038325312025309197
Esc_IA_Score,0.0004155525942938046
Cod_Freq_Exercicio,0.0002137488457877518
haq_muleta,0.0001894953411742099
Outra_Doenca_Aparelho_Digestivo,0.00032757111319076186
Assist_Dom_Actualmente,8.035724915566155e-06
Classificacao_IA,0.00044153587790951885
Frac_Punho,0.0
Tiroide,0.0003297587214501114
Esc_IA_Q1,0.0005403050188887391
haq16,0.0029913930673583626
Colesterol,0.0009357582543083381
Polineuropatia_Periferica,0.0
hads9,0.009564484218046506
Altura,0.0008101667004434245
Cod_Fumador,0.0006325697833215242
Atletismo,0.0
Ind_Toma_Meds,0.003475920020684405
haq10,0.003013301355977081
Lombalgia,0.0
Bronquite_Cronica,6.411375765399377e-05
hads2,0.053904090003686296
haq18,0.007998235668792498
Num_Hosp_Fisiatria,6.722773582389973e-05
N_Interna_Priv,0.0002064335466068963
Esc_IA_Q9,2.4900883326818804e-05
Doenca_Pulmonar,0.0002237520897685749
Outra_Doenca_Cardiaca,0.00030370695074729675
Fibrose_Pulmonar,0.0
Num_Frac_Punho,0.0
Tempo_Total_min,0.000240555260817022
Num_Frac_Outro,2.7261871261996006e-05
Esc_IA_Q3,0.00025259979933640246
Minutos_por_sessao,0.00014448927043806683
Frac_Anca,0.0
Esclerose_Multipla,0.0
Sit_Prof,0.004491197828687601
haq11,0.008928568927132704
Outras_Priv_desc,0.0002490376961761223
haq_outros,6.745130543763615e-05
Renal,0.00019103115437037242
haq_cadeira,6.880723925357114e-06
Parkinson,0.0
N_Neuro_Priv,5.573392951292599e-05
Hiperuricemia,0.0002927066336443972
Pessoa_Inst_Prest_Assist_Dom,0.0
hads5,0.011721507777111784
haq_sanita,5.0816720607341704e-05
Num_Hosp_Cardiologia,0.00011730354817485204
OA_Anca,9.569032860382209e-05
Apar_Digestivo,0.0002877041699985103
Num_Hosp_Cirurgia,0.00014805078343199692
Diabetes,0.00047199314343824856
AVC,5.2712503103514266e-05
Consultas_Ultimos_12M,0.00024757877340489734
Reformado_doenca,0.0003038782049244685
Doenca_Aparelho_Urinario,0.00011112772446980665
Outro_Exerc_desc,0.0002610176014291602
Privado_Sem_Seguro,0.00034785772345012476
haq5,0.006923177232730974
Pulmonar,0.0001247981820125075
Coluna,1.6651362716916853e-06
OA_Joelho,0.00016101213691006928
Dias_Exercicio_Semana,0.00022497414664023003
haqLidaDom,0.0029509014928185756
Esc_IA_Q7,1.3317575400312073e-05
hads14,0.02473732688348602
Ulcera_Estomago,3.982343426630028e-05
Num_Frac_Anca,0.0
Doenca_Cardiaca,0.00040246587074747436
Score_Ansiedade,0.033427998843017816
Les,2.7438272173166135e-06
Esc_IA_Q12,1.6707573268924635e-05
Publico_Centro_Saude,0.0005644352656494132
DiasExerUltSemana,0.00038785326200845276
Num_Fracturas,0.0
Idade_Inicio,0.00023760631843670334
haqComer,1.535558228360364e-05
